species,section,latitude,longitude
Eucalyptus intertexta,Adnataria,-27.20333333,126.4402778
Eucalyptus intertexta,Adnataria,-27.20333333,126.4402778
Eucalyptus coolabah,Adnataria,-31.57472222,143.3905556
Eucalyptus coolabah,Adnataria,-31.57472222,143.3905556
Eucalyptus coolabah,Adnataria,-31.57472222,143.3905556
Eucalyptus petraea,Adnataria,-28.96388889,118.8672222
Eucalyptus petraea,Adnataria,-28.96388889,118.8672222
Eucalyptus petraea,Adnataria,-28.96388889,118.8672222
Eucalyptus populnea subsp. bimbil,Adnataria,-31.48666667,147.1097222
Eucalyptus populnea subsp. bimbil,Adnataria,-31.48666667,147.1097222
Eucalyptus populnea subsp. bimbil,Adnataria,-31.48666667,147.1097222
Eucalyptus leucoxylon subsp. pruinosa,Adnataria,-35.615,144.1386111
Eucalyptus leucoxylon subsp. pruinosa,Adnataria,-35.615,144.1386111
Eucalyptus leucoxylon subsp. pruinosa,Adnataria,-35.615,144.1386111
Eucalyptus leucoxylon subsp. pruinosa,Adnataria,-35.615,144.1386111
Eucalyptus microcarpa,Adnataria,-34.72,143.1152778
Eucalyptus microcarpa,Adnataria,-34.72,143.1152778
Eucalyptus microcarpa,Adnataria,-34.72,143.1152778
Eucalyptus odorata (E. silvestris),Adnataria,-36.34916667,140.9977778
Eucalyptus odorata (E. silvestris),Adnataria,-36.34916667,140.9977778
Eucalyptus odorata (E. silvestris),Adnataria,-36.34916667,140.9977778
Eucalyptus froggattii,Adnataria,-36.67888889,141.7355556
Eucalyptus froggattii,Adnataria,-36.67888889,141.7355556
Eucalyptus froggattii,Adnataria,-36.67888889,141.7355556
Eucalyptus polyanthemos subsp. polyanthemos,Adnataria,-35.26583333,147.9394444
Eucalyptus polyanthemos subsp. polyanthemos,Adnataria,-35.26583333,147.9394444
Eucalyptus polyanthemos subsp. polyanthemos,Adnataria,-35.26583333,147.9394444
Eucalyptus albens,Adnataria,-35.10583333,147.2002778
Eucalyptus albens,Adnataria,-35.10583333,147.2002778
Eucalyptus albens,Adnataria,-35.10583333,147.2002778
Eucalyptus leucoxylon subsp. stephaniae,Adnataria,-36.55888889,141.6511111
Eucalyptus leucoxylon subsp. stephaniae,Adnataria,-36.55888889,141.6511111
